Fbb,Cbb,Gbb,Dbb,Abb,Ebb,Bbb,Fb,Cb,Gb,Db,Ab,Eb,Bb,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#,F##,C##,G##,D##,A##,E##,B##,composer,periode,title_file,work_group,opus,no,mov,title,date,instruments
0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,21.0,36.0,74.0,121.0,103.0,242.0,329.0,377.0,327.0,320.0,251.0,244.0,158.0,47.0,49.0,60.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Allegro_Symphonique_68,,68.0,,,Allegro symphonique,1874,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,22.0,29.0,72.0,167.0,93.0,82.0,168.0,229.0,94.0,33.0,15.0,34.0,6.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Au_cimetiere_51_2,4 mélodies,51.0,2.0,,Au cimetière,1888,vocal
0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,11.0,11.0,17.0,7.0,45.0,67.0,104.0,103.0,103.0,135.0,154.0,93.0,43.0,30.0,23.0,30.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,A_clymene_58_4,5 mélodies,58.0,4.0,,A Clymène,1891,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,15.0,22.0,42.0,107.0,156.0,100.0,98.0,164.0,174.0,91.0,60.0,60.0,65.0,36.0,16.0,8.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,barcarolle_7_90,,90.0,,,Barcarolle n°7,1905,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,12.0,9.0,16.0,29.0,38.0,39.0,54.0,81.0,97.0,61.0,79.0,95.0,113.0,55.0,35.0,40.0,44.0,16.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,Fauré,2,Bonne_chanson_4_61,La bonne chanson,61.0,4.0,,J'allais par les chemins perfides,1892,vocal
0.0,0.0,0.0,0.0,0.0,9.0,12.0,49.0,72.0,169.0,95.0,134.0,93.0,113.0,45.0,34.0,10.0,20.0,27.0,14.0,17.0,16.0,6.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Dans_la_foret_de_septembre_85_1,3 mélodies,85.0,1.0,,Dans la forêt de Septembre,1902,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,21.0,47.0,34.0,132.0,256.0,292.0,125.0,92.0,134.0,89.0,12.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,dolly_suite_56_1,Dolly Suite,56.0,1.0,,Dolly suite Berceuse,1897,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,18.0,9.0,8.0,10.0,40.0,37.0,24.0,78.0,217.0,149.0,105.0,127.0,199.0,84.0,33.0,2.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,dolly_suite_jardin_Le_jardin_de_dolly_56_3,Dolly Suite,56.0,3.0,,Dolly suite Le jardin de Dolly,1897,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,70.0,81.0,158.0,260.0,295.0,102.0,189.0,177.0,125.0,35.0,19.0,23.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,dolly_suite_kitty_valse_56_4,Dolly Suite,56.0,4.0,,Dolly suite Kitty-valse,1897,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,10.0,45.0,14.0,200.0,358.0,426.0,338.0,281.0,266.0,320.0,88.0,24.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,dolly_suite_le_pas_espagnol_56_6,Dolly Suite,56.0,6.0,,Dolly suite Le pas espagnol,1897,piano
0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,15.0,29.0,23.0,36.0,121.0,232.0,243.0,192.0,165.0,240.0,156.0,90.0,30.0,32.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,dolly_suite_miaou_56_2,Dolly Suite,56.0,2.0,,Dolly suite Miaou,1897,piano
0.0,0.0,0.0,0.0,2.0,0.0,10.0,25.0,39.0,60.0,131.0,166.0,123.0,91.0,105.0,111.0,89.0,35.0,43.0,39.0,15.0,23.0,18.0,4.0,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,dolly_suite_tendresse_56_5,Dolly Suite,56.0,5.0,,Dolly suite Tendresse,1897,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,33.0,41.0,103.0,154.0,125.0,154.0,55.0,106.0,65.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,ecce_fidelis_servus_54,,54.0,,,Ecce fidelis servus,1890,vocal
0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,42.0,49.0,76.0,92.0,163.0,181.0,88.0,83.0,108.0,34.0,41.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,En_sourdine_58_2,5 mélodies,58.0,2.0,,En sourdine,1891,vocal
0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,28.0,16.0,24.0,52.0,86.0,95.0,63.0,52.0,76.0,113.0,19.0,60.0,91.0,33.0,7.0,27.0,25.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Fleurs_d_or_duo_72,,72.0,,,Fleurs d'or,1896,vocal
0.0,0.0,0.0,0.0,0.0,1.0,5.0,32.0,67.0,121.0,124.0,70.0,80.0,142.0,75.0,45.0,25.0,36.0,37.0,26.0,18.0,42.0,31.0,7.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,green_58_3,5 mélodies,58.0,3.0,,Green,1891,vocal
0.0,0.0,0.0,0.0,8.0,0.0,31.0,65.0,78.0,158.0,148.0,330.0,145.0,197.0,202.0,170.0,125.0,121.0,107.0,129.0,76.0,73.0,80.0,88.0,48.0,14.0,22.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Impromptu_4_91,,91.0,,,Impromptu n°4,1905,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,15.0,59.0,98.0,57.0,55.0,107.0,196.0,108.0,63.0,69.0,160.0,50.0,61.0,81.0,17.0,12.0,21.0,17.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Larmes_51_1,4 mélodies,51.0,1.0,,Larmes,1888,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,11.0,10.0,16.0,30.0,28.0,27.0,82.0,97.0,97.0,63.0,40.0,111.0,34.0,17.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Le_don_silencieux_92,,92.0,,,Le don silencieux,1906,vocal
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,12.0,12.0,23.0,24.0,13.0,38.0,22.0,27.0,64.0,108.0,92.0,63.0,38.0,110.0,24.0,16.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Le_parfum_impérissable_76_2,2 mélodies,76.0,1.0,,Le parfum impérissable,1897,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,30.0,63.0,32.0,64.0,71.0,76.0,29.0,21.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Le_plus_doux_chemin_87_1,2 mélodies,87.0,1.0,,Le plus doux chemin,1904,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,38.0,54.0,77.0,141.0,179.0,98.0,70.0,158.0,99.0,26.0,17.0,20.0,22.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Mandoline_58_1,5 mélodies,58.0,1.0,,Mandoline,1891,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,18.0,33.0,77.0,173.0,160.0,91.0,105.0,133.0,102.0,25.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,maria_mater_graciae_47_2,2 mélodies,47.0,2.0,,Maria Mater Gratiae,1888,vocale
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,53.0,77.0,79.0,55.0,82.0,99.0,75.0,80.0,130.0,197.0,285.0,324.0,298.0,437.0,318.0,236.0,168.0,144.0,81.0,85.0,21.0,6.0,6.0,0.0,0.0,0.0,Fauré,2,Nocturne n°7,,74.0,,,Nocturne n°7,1897,piano
0.0,0.0,0.0,0.0,0.0,29.0,26.0,12.0,66.0,114.0,190.0,266.0,125.0,134.0,230.0,177.0,159.0,154.0,229.0,381.0,198.0,195.0,239.0,248.0,149.0,41.0,51.0,64.0,19.0,9.0,1.0,0.0,0.0,0.0,0.0,Fauré,2,nocturne-no6gfaure-op63,,63.0,,,Nocturne n°6,1894,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,5.0,34.0,38.0,59.0,76.0,148.0,304.0,245.0,181.0,174.0,245.0,202.0,81.0,16.0,24.0,38.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Papillon_77,,77.0,,,Papillon,1884,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0,51.0,45.0,101.0,218.0,191.0,220.0,195.0,236.0,149.0,94.0,72.0,15.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Pelleas_et_melisande_80_prelude,Pélléas et mélisande suite,80.0,,1.0,Prélude,1898,orchestral
0.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,22.0,68.0,155.0,147.0,118.0,94.0,114.0,100.0,48.0,30.0,51.0,50.0,45.0,28.0,35.0,14.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,pieces-breves-8-nocturne-gabriel-faure,8 pièces brèves,84.0,8.0,,Nocturne n°8,1902,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,85.0,145.0,91.0,131.0,150.0,166.0,89.0,34.0,10.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Pieces_breves_fugue_84_6,8 pièces brèves,84.0,6.0,,Fugue,1869,piano
0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,71.0,107.0,239.0,388.0,671.0,909.0,1648.0,1477.0,2209.0,2744.0,2740.0,1851.0,1902.0,1679.0,1125.0,589.0,269.0,207.0,167.0,48.0,13.0,12.0,4.0,1.0,0.0,0.0,0.0,Fauré,2,quintette_1_89,Quintette pour piano et cordes n°1,89.0,,,Quintette pour piano et cordes n°1,1905,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,30.0,36.0,105.0,166.0,142.0,112.0,175.0,232.0,94.0,81.0,53.0,59.0,19.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,Fauré,2,Romance_violoncelle_69,,69.0,,,Romance,1894,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,26.0,40.0,66.0,123.0,35.0,46.0,82.0,29.0,20.0,11.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,Shylock_Madrigal_57,Shylock suite,57.0,,3.0,Madrigal,1889,orchestral
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,1.0,62.0,148.0,61.0,105.0,127.0,128.0,133.0,60.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,2,spleen_51_3,4 mélodies,51.0,3.0,,Spleen,1888,vocal
